Symbol	Location
TNFSF14	Extracellular space
TIMP4	Extracellular space
RAB35	Extracellular space
ANGPTL4	Extracellular space
IGFL1	Extracellular space
EXTL2	Extracellular space
OTOP1	Extracellular space
IGFBP6	Extracellular space
NECTIN4	Extracellular space
CORIN	Extracellular space
EDEM2	Extracellular space
IGKV2-28	Extracellular space
VEGFA	Extracellular space
CCL22	Extracellular space
EDN2	Extracellular space
IGKV3-11	Extracellular space
LY96	Extracellular space
GC	Extracellular space
SLPI	Extracellular space
OLR1	Extracellular space
CRISP3	Extracellular space
DKK1	Extracellular space
A2M	Extracellular space
PDGFD	Extracellular space
MMP19	Extracellular space
TNFRSF25	Extracellular space
CFHR1	Extracellular space
BPIFA1	Extracellular space
LTBP4	Extracellular space
SERPINF1	Extracellular space
LIPG	Extracellular space
ZP4	Extracellular space
FGF8	Extracellular space
COL4A4	Extracellular space
DPP4	Extracellular space
AXL	Extracellular space
INHA	Extracellular space
CFB	Extracellular space
AGRP	Extracellular space
CCL11	Extracellular space
ADAMTSL4	Extracellular space
CXCL11	Extracellular space
SFRP1	Extracellular space
STC1	Extracellular space
CD5L	Extracellular space
IL6ST	Extracellular space
CRB1	Extracellular space
BDNF	Extracellular space
WNT10B	Extracellular space
FDCSP	Extracellular space
SAA1	Extracellular space
ADM	Extracellular space
PPY	Extracellular space
PODN	Extracellular space
FGF2	Extracellular space
CELA1	Extracellular space
CFC1B	Extracellular space
CTSL	Extracellular space
VPREB1	Extracellular space
FLT3LG	Extracellular space
DEFB107A	Extracellular space
FGF17	Extracellular space
CST5	Extracellular space
FBLN1	Extracellular space
IGKV3-7	Extracellular space
SMOC1	Extracellular space
CDSN	Extracellular space
P4HB	Extracellular space
DMBT1	Extracellular space
THBS4	Extracellular space
IL1RL1	Extracellular space
QSOX1	Extracellular space
PGLYRP4	Extracellular space
C1QC	Extracellular space
DEFA1B	Extracellular space
ADAM12	Extracellular space
PTGDS	Extracellular space
CTRB1	Extracellular space
DEFA6	Extracellular space
INHBA	Extracellular space
WFDC1	Extracellular space
PXDN	Extracellular space
MSLN	Extracellular space
BMPER	Extracellular space
MUC16	Extracellular space
C1RL	Extracellular space
IL36B	Extracellular space
PRL	Extracellular space
FETUB	Extracellular space
IGFBP1	Extracellular space
WNT4	Extracellular space
CDCP1	Extracellular space
SERPINC1	Extracellular space
SPOCK2	Extracellular space
SFTPA2	Extracellular space
PSG3	Extracellular space
PATE2	Extracellular space
KLK8	Extracellular space
CPB1	Extracellular space
GAST	Extracellular space
LIPC	Extracellular space
CFHR4	Extracellular space
SORD	Extracellular space
SAA2	Extracellular space
CFH	Extracellular space
TAFA3	Extracellular space
CTRB2	Extracellular space
TINAG	Extracellular space
SPOCK3	Extracellular space
IGKV5-2	Extracellular space
WNT3	Extracellular space
CTF1	Extracellular space
CXADR	Extracellular space
IFNA4	Extracellular space
COL15A1	Extracellular space
SPX	Extracellular space
ALB	Extracellular space
NMB	Extracellular space
OLFM4	Extracellular space
GNRH1	Extracellular space
WNT2B	Extracellular space
GNG8	Extracellular space
TAC3	Extracellular space
WIF1	Extracellular space
GRP	Extracellular space
APOO	Extracellular space
ANGPT2	Extracellular space
LY6K	Extracellular space
IGLV3-21	Extracellular space
HMGB1	Extracellular space
IL17RB	Extracellular space
PGC	Extracellular space
MMP26	Extracellular space
DCN	Extracellular space
IGHD	Extracellular space
PCOLCE	Extracellular space
PAPPA	Extracellular space
BPI	Extracellular space
EDIL3	Extracellular space
WNT1	Extracellular space
IGF1	Extracellular space
PNOC	Extracellular space
GHR	Extracellular space
ORM1	Extracellular space
CSH1	Extracellular space
SST	Extracellular space
NPS	Extracellular space
C1QL3	Extracellular space
BMP8A	Extracellular space
C6	Extracellular space
CST3	Extracellular space
IL9R	Extracellular space
EPO	Extracellular space
COL4A2	Extracellular space
SRGN	Extracellular space
SFTPD	Extracellular space
KLK3	Extracellular space
NECTIN1	Extracellular space
PLA2G5	Extracellular space
IL1F10	Extracellular space
DEFB1	Extracellular space
TDGF1	Extracellular space
IL15	Extracellular space
PYY	Extracellular space
CILP	Extracellular space
CXCL16	Extracellular space
MGP	Extracellular space
ADM2	Extracellular space
ANXA2	Extracellular space
F2	Extracellular space
AL645922.1	Extracellular space
CXCL1	Extracellular space
FAM3C	Extracellular space
GPX3	Extracellular space
EPHA3	Extracellular space
BCAN	Extracellular space
IL15RA	Extracellular space
HPSE	Extracellular space
OLFML3	Extracellular space
KLK7	Extracellular space
PSG6	Extracellular space
HPX	Extracellular space
CSN2	Extracellular space
VGF	Extracellular space
NPPC	Extracellular space
CXCL9	Extracellular space
NPY	Extracellular space
COPA	Extracellular space
DEFB104A	Extracellular space
F3	Extracellular space
TAFA5	Extracellular space
LAMB2	Extracellular space
PON1	Extracellular space
FLT1	Extracellular space
PRG4	Extracellular space
LY86	Extracellular space
GZMM	Extracellular space
CSH2	Extracellular space
APOC2	Extracellular space
USH2A	Extracellular space
CA6	Extracellular space
IFNA7	Extracellular space
IL36A	Extracellular space
BMP4	Extracellular space
WNT2	Extracellular space
IFNA10	Extracellular space
CST9	Extracellular space
INSL5	Extracellular space
PLGLB1	Extracellular space
PLGLB2	Extracellular space
CNMD	Extracellular space
ULBP2	Extracellular space
RBMXL1	Extracellular space
NXPH2	Extracellular space
GPX5	Extracellular space
INHBB	Extracellular space
DEFA1	Extracellular space
BTD	Extracellular space
TCN1	Extracellular space
LGALS3BP	Extracellular space
PENK	Extracellular space
SCT	Extracellular space
CGB3	Extracellular space
CEL	Extracellular space
FGF23	Extracellular space
IFNW1	Extracellular space
IGLL1	Extracellular space
DEFB106B	Extracellular space
IFNA14	Extracellular space
