symbol	kegg_terms
CS	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,Metabolic pathways
NAGS	2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Metabolic pathways
GOT2	2-Oxocarboxylic acid metabolism,Alanine aspartate and glutamate metabolism,Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Carbon metabolism,Cysteine and methionine metabolism,Fat digestion and absorption,Metabolic pathways,Phenylalanine metabolism,Phenylalanine tyrosine and tryptophan biosynthesis,Tyrosine metabolism
IDH1	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Central carbon metabolism in cancer,Citrate cycle (TCA cycle),Glutathione metabolism,Metabolic pathways,Peroxisome
IDH2	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Central carbon metabolism in cancer,Citrate cycle (TCA cycle),Glutathione metabolism,Metabolic pathways,Peroxisome
IDH3A	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Citrate cycle (TCA cycle),Metabolic pathways
IDH3B	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Citrate cycle (TCA cycle),Metabolic pathways
IDH3G	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Citrate cycle (TCA cycle),Metabolic pathways
ACO1	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,Metabolic pathways
BCAT2	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of cofactors,Cysteine and methionine metabolism,Metabolic pathways,Pantothenate and CoA biosynthesis,Valine leucine and isoleucine biosynthesis,Valine leucine and isoleucine degradation
ABCB6	ABC transporters
ABCA7	ABC transporters
ABCA8	ABC transporters
CFTR	ABC transporters,AMPK signaling pathway,Bile secretion,Gastric acid secretion,Pancreatic secretion,Tight junction,Vibrio cholerae infection,cAMP signaling pathway
ABCB8	ABC transporters
DEFB1	ABC transporters,Staphylococcus aureus infection
ABCA2	ABC transporters,Lysosome
ABCA3	ABC transporters
ABCD1	ABC transporters,Peroxisome
ABCB7	ABC transporters
ABCD2	ABC transporters,Peroxisome
ABCB10	ABC transporters
ABCB9	ABC transporters,Lysosome
ABCB5	ABC transporters
ABCC1	ABC transporters,Antifolate resistance,MicroRNAs in cancer,Sphingolipid signaling pathway,Vitamin digestion and absorption
ABCB1	ABC transporters,Bile secretion,Gastric cancer,MicroRNAs in cancer
ABCB4	ABC transporters,Bile secretion
ABCD3	ABC transporters,Peroxisome
ABCD4	ABC transporters,Peroxisome
TAP1	ABC transporters,Antigen processing and presentation,Epstein-Barr virus infection,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Phagosome,Primary immunodeficiency
ABCC10	ABC transporters
ABCG2	ABC transporters,Antifolate resistance,Bile secretion
ABCG1	ABC transporters,Lipid and atherosclerosis
AKT3	AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Adipocytokine signaling pathway,Adrenergic signaling in cardiomyocytes,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy - animal,B cell receptor signaling pathway,Breast cancer,C-type lectin receptor signaling pathway,Carbohydrate digestion and absorption,Cellular senescence,Central carbon metabolism in cancer,Chagas disease,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Diabetic cardiomyopathy,Dopaminergic synapse,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endometrial cancer,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,Glucagon signaling pathway,GnRH secretion,Growth hormone synthesis secretion and action,HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Insulin resistance,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,Longevity regulating pathway - multiple species,MAPK signaling pathway,Measles,Melanoma,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Platinum drug resistance,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Small cell lung cancer,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection,cAMP signaling pathway,cGMP-PKG signaling pathway,mTOR signaling pathway
CDK4	AGE-RAGE signaling pathway in diabetic complications,Bladder cancer,Breast cancer,Cell cycle,Cellular senescence,Chronic myeloid leukemia,Cushing syndrome,Endocrine resistance,Epstein-Barr virus infection,Glioma,Hepatitis C,Hepatocellular carcinoma,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human papillomavirus infection,Influenza A,Kaposi sarcoma-associated herpesvirus infection,Measles,Melanoma,Non-small cell lung cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Small cell lung cancer,T cell receptor signaling pathway,Tight junction,Viral carcinogenesis,p53 signaling pathway
CDKN1B	AGE-RAGE signaling pathway in diabetic complications,Cell cycle,Chronic myeloid leukemia,Cushing syndrome,Endocrine resistance,Epstein-Barr virus infection,ErbB signaling pathway,FoxO signaling pathway,Gastric cancer,HIF-1 signaling pathway,Human papillomavirus infection,Measles,MicroRNAs in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Prostate cancer,Small cell lung cancer,Transcriptional misregulation in cancer,Viral carcinogenesis
COL1A2	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,Diabetic cardiomyopathy,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Platelet activation,Protein digestion and absorption,Proteoglycans in cancer,Relaxin signaling pathway
COL3A1	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,Diabetic cardiomyopathy,Platelet activation,Protein digestion and absorption,Relaxin signaling pathway
COL4A1	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
COL4A2	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
COL4A3	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
COL4A4	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
COL4A5	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
COL4A6	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer
